id,order,genus,Epitet,Sp name,Complete name
182,PRIMATES,Saguinus,nigricollis,Saguinus nigricollis,"S. nigricollis (Spix, 1823) 5"
183,PRIMATES,Saguinus,weddelli,Saguinus weddelli,"S. weddelli (Deville, 1849)"
196,PRIMATES,Saimiri,boliviensis,Saimiri boliviensis,"S. boliviensis (I. Geoffroy & Blainville, 1834)"
197,PRIMATES,Saimiri,cassiquiarensis,Saimiri cassiquiarensis,"S. cassiquiarensis (Lesson, 1840) 7"
198,PRIMATES,Saimiri,collinsi,Saimiri collinsi,"S. collinsi Osgood, 1916 8"
199,PRIMATES,Saimiri,macrodon,Saimiri macrodon,"S. macrodon Elliot, 1907 8"
200,PRIMATES,Saimiri,sciureus,Saimiri sciureus,"S. sciureus (Linnaeus, 1758)"
201,PRIMATES,Saimiri,ustus,Saimiri ustus,"S. ustus (I. Geoffroy, 1843)"
202,PRIMATES,Saimiri,vanzolinii,Saimiri vanzolinii,"S. vanzolinii Ayres, 1985"
188,PRIMATES,Sapajus,apella,Sapajus apella,"S. apella (Linnaeus, 1758)"
189,PRIMATES,Sapajus,cay,Sapajus cay,"S. cay (Illiger, 1815)"
190,PRIMATES,Sapajus,flavius,Sapajus flavius,"S. flavius (Schreber, 1774)"
191,PRIMATES,Sapajus,libidinosus,Sapajus libidinosus,"S. libidinosus (Spix, 1823)"
192,PRIMATES,Sapajus,macrocephalus,Sapajus macrocephalus,"S. macrocephalus (Spix, 1823)"
193,PRIMATES,Sapajus,nigritus,Sapajus nigritus,"S. nigritus (Goldfuss, 1809)"
194,PRIMATES,Sapajus,robustus,Sapajus robustus,"S. robustus (Kuhl, 1820)"
195,PRIMATES,Sapajus,xanthosternos,Sapajus xanthosternos,"S. xanthosternos (Wied-Neuwied, 1826)"
579,RODENTIA,Scapteromys,tumidus,Scapteromys tumidus,"S. tumidus (Waterhouse, 1837)"
690,RODENTIA,Sciurillus,pusillus,Sciurillus pusillus,"S. pusillus (É. Geoffroy, 1803)"
399,CHIROPTERA,Scleronycteris,ega,Scleronycteris ega,"S. ega Thomas, 1912"
580,RODENTIA,Scolomys,ucayalensis,Scolomys ucayalensis,"S. ucayalensis Pacheco, 1991"
581,RODENTIA,Sigmodon,alstoni,Sigmodon alstoni,"S. alstoni (Thomas, 1881)"
582,RODENTIA,Sooretamys,angouya,Sooretamys angouya,"S. angouya (G. Fischer, 1814)"
95,CETACEA,Sotalia,fluviatilis,Sotalia fluviatilis,"S. fluviatilis (Gervais & Deville, 1853) 8"
96,CETACEA,Sotalia,guianensis,Sotalia guianensis,"S. guianensis (van Bénéden, 1864) 8"
243,CARNIVORA,Speothos,venaticus,Speothos venaticus,"S. venaticus (Lund, 1842)"
400,CHIROPTERA,Sphaeronycteris,toxophyllum,Sphaeronycteris toxophyllum,"S. toxophyllum Peters, 1882"
97,CETACEA,Stenella,attenuata,Stenella attenuata,"S. attenuata (Gray, 1846) 9"
98,CETACEA,Stenella,clymene,Stenella clymene,"S. clymene (Gray, 1850) 9"
99,CETACEA,Stenella,coeruleoalba,Stenella coeruleoalba,"S. coeruleoalba (Meyen, 1833) 9"
100,CETACEA,Stenella,frontalis,Stenella frontalis,"S. frontalis (G. Cuvier, 1829) 9"
101,CETACEA,Stenella,longirostris,Stenella longirostris,"S. longirostris (Gray, 1828) 9"
102,CETACEA,Steno,bredanensis,Steno bredanensis,"S. bredanensis (G. Cuvier in Lesson, 1828)"
401,CHIROPTERA,Sturnira,lilium,Sturnira lilium,"S. lilium (É. Geoffroy, 1810)"
402,CHIROPTERA,Sturnira,magna,Sturnira magna,"S. magna de la Torre, 1966"
403,CHIROPTERA,Sturnira,tildae,Sturnira tildae,"S. tildae de la Torre, 1959"
449,LAGOMORPHA,Sylvilagus,brasiliensis,Sylvilagus brasiliensis,"S. brasiliensis (Linnaeus, 1758)"
319,CHIROPTERA,Tadarida,brasiliensis,Tadarida brasiliensis,"T. brasiliensis (I. Geoffroy, 1824)"
48,PILOSA,Tamandua,tetradactyla,Tamandua tetradactyla,"T. tetradactyla (Linnaeus, 1758)"
60,PERISSODACTYLA,Tapirus,terrestris,Tapirus terrestris,"T. terrestris (Linnaeus, 1758)"
72,ARTIODACTYLA,Tayassu,pecari,Tayassu pecari,"T. pecari (Link, 1795)"
583,RODENTIA,Thalpomys,cerradensis,Thalpomys cerradensis,"T. cerradensis Hershkovitz, 1990"
584,RODENTIA,Thalpomys,lasiotis,Thalpomys lasiotis,"T. lasiotis Thomas, 1916"
585,RODENTIA,Thaptomys,nigrita,Thaptomys nigrita,"T. nigrita (Lichtenstein, 1829)"
657,RODENTIA,Thrichomys,apereoides,Thrichomys apereoides,"T. apereoides (Lund, 1839)"
658,RODENTIA,Thrichomys,inermis,Thrichomys inermis,"T. inermis (Pictet, 1841)"
659,RODENTIA,Thrichomys,laurentius,Thrichomys laurentius,"T. laurentius (Thomas, 1904) 28"
660,RODENTIA,Thrichomys,pachyurus,Thrichomys pachyurus,"T. pachyurus (Wagner, 1845)"
38,DIDELPHIMORPHIA,Thylamys,karimii,Thylamys karimii,"T. karimii (Petter, 1968)"
39,DIDELPHIMORPHIA,Thylamys,macrurus,Thylamys macrurus,"T. macrurus (Olfers, 1818)"
40,DIDELPHIMORPHIA,Thylamys,velutinus,Thylamys velutinus,"T. velutinus (Wagner, 1842)"
417,CHIROPTERA,Thyroptera,devivoi,Thyroptera devivoi,"T. devivoi Gregorin, Gonçalves, Lim & Engstrom, 2006"
418,CHIROPTERA,Thyroptera,discifera,Thyroptera discifera,"T. discifera (Lichtenstein & Peters, 1854)"
419,CHIROPTERA,Thyroptera,lavali,Thyroptera lavali,"T. lavali Pine, 1993"
420,CHIROPTERA,Thyroptera,tricolor,Thyroptera tricolor,"T. tricolor Spix, 1823"
58,CINGULATA,Tolypeutes,matacus,Tolypeutes matacus,"T. matacus (Desmarest, 1804)"
59,CINGULATA,Tolypeutes,tricinctus,Tolypeutes tricinctus,"T. tricinctus (Linnaeus, 1758)"
404,CHIROPTERA,Tonatia,bidens,Tonatia bidens,"T. bidens (Spix, 1823)"
405,CHIROPTERA,Tonatia,saurophila,Tonatia saurophila,"T. saurophila Koopman & Williams, 1951 2"
661,RODENTIA,Toromys,grandis,Toromys grandis,"T. grandis (Wagner, 1845) 29"
406,CHIROPTERA,Trachops,cirrhosus,Trachops cirrhosus,"T. cirrhosus (Spix, 1823)"
73,SIRENIA,Trichechus,inunguis,Trichechus inunguis,"T. inunguis (Natterer, 1883)"
74,SIRENIA,Trichechus,manatus,Trichechus manatus,"T. manatus Linnaeus, 1758"
662,RODENTIA,Trinomys,albispinus,Trinomys albispinus,"T. albispinus (I. Geoffroy, 1838)"
663,RODENTIA,Trinomys,bonafidei,Trinomys bonafidei,"T. bonafidei (Moojen, 1948) 30"
664,RODENTIA,Trinomys,dimidiatus,Trinomys dimidiatus,"T. dimidiatus (Günther, 1877)"
665,RODENTIA,Trinomys,elegans,Trinomys elegans,"T. elegans (Lund, 1841) 31"
666,RODENTIA,Trinomys,eliasi,Trinomys eliasi,"T. eliasi (Pessôa & Reis, 1993)"
667,RODENTIA,Trinomys,iheringi,Trinomys iheringi,"T. iheringi (Thomas, 1911)"
668,RODENTIA,Trinomys,minor,Trinomys minor,"T. minor (Reis & Pessôa, 1995) 32"
669,RODENTIA,Trinomys,mirapitanga,Trinomys mirapitanga,"T. mirapitanga Lara, Patton & Hingst-Zaher, 2002"
670,RODENTIA,Trinomys,moojeni,Trinomys moojeni,"T. moojeni (Pessôa, Oliveira & Reis, 1992)"
671,RODENTIA,Trinomys,panema,Trinomys panema,"T. panema (Moojen, 1948) 30"
672,RODENTIA,Trinomys,paratus,Trinomys paratus,"T. paratus (Moojen, 1948)"
673,RODENTIA,Trinomys,setosus,Trinomys setosus,"T. setosus (Desmarest, 1817)"
674,RODENTIA,Trinomys,yonenagae,Trinomys yonenagae,"T. yonenagae (Rocha, 1995)"
