"scientificname"	"longitude"	"latitude"	"collectioncode"	"catalognumber"	"identifiedby"	"country"	"stateprovince"	"county"	"locality"	"daycollected"	"monthcollected"	"yearcollected"	"collector"	"collectornumber"	"notes"	"source"	"remove.type"
"Cavanillesia arborea 10"	0	0	"HMC"	"569"	"Santos R.M."	"Brasil"	"Minas Gerais"	"Manga"	"Parque Estadual da Mata Seca"	10	2	2010	"Luz, G.R.; Coutinho, E.S.; Dantas, I.M.; Mota, G.S.; Mota, N.M.; Oliveira, M.H.; Rodrigues, P.L.; Silva, D.L.; Souza, M.L.; Souza, S.R.; Veloso, C.V.R.A.;"	"76"	""	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"CEN"	"23207"	""	"Brasil"	"GO"	"CAMPOS BELOS"	"Estrada de terra Campos Belos - Divin<f3>polis de Goi<e1>s; a 20 km do entroncamento com a GO-118."	NA	NA	NA	"Taciana Barbosa Cavalcanti"	"713"	"8 m altura."	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"VIC"	"31454"	"Valente, G.E."	"Brasil"	"Minas Gerais"	"Vi<e7>osa"	"Campus da UFV, Horto."	22	8	2007	"Valente, G.E.; Costa, C.A. da"	"1976"	"<c1>rvore com cerca de 12 metros de altura. Dia 22/08/2007 totalmente desprovida de folhas. Infloresc<ea>ncia concentrada no <e1>pice dos ramos com flores de c<e1>lice ferruginoso, corola branca, estilete branco com base rosada. Dia 15/10/2007, co"	"splink"	"lat. 0"
"Cavanillesia umbellata"	0	0	"MAC"	"29514"	"R.A.Costa"	"Brasil"	"Rio Grande do Norte"	"S<e3>o Jos<e9> de Mipib<fa>"	"Tropical Eco Resort."	22	10	2006	"R.A.Costa"	"34"	"<c1>rvore. Flores amarelas. Frutos verdes.HABITAT:Borda da Mata.;"	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"NMNH_BOTANY_BR"	"2206906"	""	"Brazil"	"Goiás"	"Flores de Goias"	"Alvorada do Norte."	9	9	1994	"B. A. S. Pereira"	"2615"	""	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"IPA"	"56095"	"Bocage, A."	"Brasil"	"Pernambuco"	"Recife"	"Dois Irm<e3>os, Pra<e7>a de Dois Irm<e3>os."	NA	3	1997	"Alves, J.L.H."	"IPA-56095"	""	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"UB"	"21006"	"Pereira, BAS"	"Brasil"	"Goi<e1>s"	"Guarani de Goi<e1>s"	""	NA	NA	1996	"Pereira, BAS"	"3121"	"."	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"CVRD"	"10544"	"Folli, D. A."	"BRASIL"	"MG"	"ITUETA"	""	7	11	2007	"Folli, D.A."	"5762"	"<ll>dwc_commonname:</ll> Barriguda"	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"CVRD"	"14487"	"Folli, D. A"	"BRASIL"	"ES"	"LINHARES"	""	13	8	2013	"Folli, D.A."	"7103"	"Mata de aluvial na cabruca cacau. <ll>dwc_commonname:</ll> Barriguda"	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"CVRD"	"9823"	"Folli, D. A."	"BRASIL"	"ES"	"LINHARES"	""	1	11	2006	"Folli, D.A."	"5395"	"Fazenda 3 Marias <ll>dwc_commonname:</ll> Barriguda"	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"BHCB"	"58301"	""	"Brasil"	"Minas Gerais"	"Governador Valadares"	"Campo de Sementes"	28	10	1942	"Mendes Magalh<e3>es"	"2369"	""	"splink"	"lat. 0"
"Cavanillesia umbellata"	0	0	"HEPH"	"28035"	"Paiva, VF; Oliveira, MS"	"Brasil"	"Goi<e1>s"	"Nova Roma"	""	18	8	2011	"Jesus, FPR de"	"349"	"<c1>rvore; frutos jovens de cor verde; Fruto Imaturos verdes; Beira de estrada; Relevo Inclinado"	"splink"	"lat. 0"
"Cavanillesia umbellata"	0	0	"HEPH"	"28149"	"Paiva, VF; Oliveira, MS"	"Brasil"	"Goi<e1>s"	"Nova Roma"	""	24	10	2011	"Jesus, FPR de"	"351"	"Pl<e2>ntula de mais ou menos 20cm; Fruto Imaturos verdes;; Beira de estr.interna da Reserva(Borda de cerrado; Relevo Declive"	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"SPF"	"185119"	"Valente, GE"	"Brasil"	"Minas Gerais"	"Vi<e7>osa"	""	22	8	2007	"Valente, GE"	"1976"	"coleta: 22/8/2007 (flor); 15/10/2007 (fruto) e 30/11/2007 (folha)."	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"HUEFS"	"122632"	""	"Brasil"	"Bahia"	"Santa B<e1>rbara"	""	2	7	2007	"Santos, R.M."	"1695"	"Transi<e7><e3>o caatinga - Floresta"	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"HUEFS"	"24143"	""	"Brasil"	"Goi<e1>s"	"Campos Belos"	""	16	8	1990	"Cavalcanti, T.B."	"713"	""	"splink"	"lat. 0"
"Cavanillesia umbellata"	0	0	"HUEFS"	"171827"	""	"Brasil"	"Bahia"	"Santana"	"localidade de Porto Novo, 8km da vila em dire<e7><e3>o a Santana."	15	3	2011	"Carvalho-Sobrinho, J.G.de"	"2987"	"Caatinga sobre afloramentos calc<e1>rios."	"splink"	"lat. 0"
"Cavanillesia arborea"	0	0	"UEC"	"70238"	"Pereira, B.A.S."	"Brazil"	"Goi<e1>s"	"Flores de Goi<e1>s"	"Testemunha de mata existente entre a cidade nova e a cidade velha. Mata dec<ed>dua situada no Km 32 da estrada de terra.. Alvorada do Norte."	9	9	1994	"Pereira, B.A.S."	"2615"	"<c1>rvore com cerca de 15 m de altura com tronco em forma de t<fa>nel. Casca muito espessa. Madeira rica em par<ea>nquima. Flores brancas."	"splink"	"lat. 0"
