"scientificname"	"longitude"	"latitude"	"collectioncode"	"catalognumber"	"identifiedby"	"country"	"stateprovince"	"county"	"locality"	"daycollected"	"monthcollected"	"yearcollected"	"collector"	"collectornumber"	"notes"	"source"	"remove.type"
"Aralia warmingiana"	0	0	"PACA-AGP"	"36013"	"P. Fiaschi"	"Brasil"	"RS"	"Montenegro"	"Butterberg"	1	1	1947	"Rambo, B."	""	"EM PERIGO Habitat: In silva primaeva. Fenofase: fruto"	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"PACA-AGP"	"41585"	"P. Fiaschi"	"Brasil"	"RS"	"Novo Hamburgo"	"Ad montem Ferrabraz"	16	5	1949	"Rambo, B."	""	"EM PERIGO Habitat: In silva primaeva. Fenofase: est<e9>ril"	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"PACA-AGP"	"42912"	"P. Fiaschi"	"Brasil"	"RS"	"Novo Hamburgo"	"Schwabenschneis"	12	8	1949	"Rambo, B."	""	"EM PERIGO Habitat: In silva primaeva. Fenofase: est<e9>ril"	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"PACA-AGP"	"4675"	"P. Fiaschi"	"Brasil"	"RS"	"Santo <c2>ngelo"	"Boca do Mato"	18	2	1941	"Rambo, B."	""	"Habitat: In silva primaeva. Fenofase: est<e9>ril"	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"PACA-AGP"	"57187"	"P. Fiaschi"	"Brasil"	"RS"	"S<e3>o Sebasti<e3>o do Ca<ed>"	"Bohmerschneis"	1	4	1955	"Rambo, B."	""	"EM PERIGO Habitat: In silva. Fenofase: fruto"	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"PACA-AGP"	"67358"	"P. Fiaschi"	"Brasil"	"SP"	"Sao Simao"	"Faz. Aritozina"	29	1	1982	"Leitao f."	""	"Altura de 15m.Herb. Univ. Est. Campinas 13280. Habitat: Em <e1>rea de transi<e7><e3>o mata-cerrado. Fenofase: flor creme esverdeada"	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"SPSF"	"26004"	""	"Brasil"	"PR"	"Londrina"	"Parque Estadual Mata dos Godoy"	3	3	1993	"L.H.Soares Silva & F.Chagas Silva"	"307"	"COLETA: XLS: SPSFAntigo;"	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"SPSF"	"33641"	""	"Brasil"	"PR"	"Bela Vista do Paraiso"	"bosque municipal"	18	4	2001	"L.Fadelli"	""	"COLETA: XLS: SPSFAntigo;"	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"FUEL"	"10239"	""	"Brasil"	"Paran<e1>"	"Londrina"	"Parque Estadual Mata dos Godoy"	17	3	1989	"Soares-Silva, L.H.; Francisco das Chagas e Silva"	"196"	"; DESC: Arvore, 25,0m de altura, botoes florais e flores cremes."	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"FUEL"	"10742"	""	"Brasil"	"Paran<e1>"	"Londrina"	"Parque Estadual Mata dos Godoy"	3	3	1993	"Soares-Silva, L.H.; Francisco das Chagas e Silva"	"307"	"; DESC: Arvore, 30,0m de alt., botoes florais e flores amareladas, odorifera, rara na area"	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"FUEL"	"11379"	"Frondin, D."	"Brasil"	"Paran<e1>"	"Londrina"	"Floresta dos Godoy, Proximo parc.5 e 14 da porcao norte"	18	3	1994	"Francisco das Chagas e Silva; Soares-Silva, L.H."	"1682"	"; DESC: Arvore, 30,0m de alt; botao floral e flores creme; suber lenhoso, corte creme."	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"FUEL"	"30339"	"S.F. de Andrade"	"Brasil"	"Paran<e1>"	"Sertan<f3>polis"	"Fazenda Fartura"	28	9	2000	"Francisco, E.M."	"s.n."	"; DESC: <c1>rvore 10m. Borda da mata."	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"FUEL"	"36195"	""	"Brasil"	"Paran<e1>"	"Londrina"	"Fazenda Figueira"	24	11	2003	"Estevan, D.A.; et al."	"285"	"; DESC: <c1>rvore 9m, veg. Fragmento 1."	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"FUEL"	"36434"	"Lovato, M.C."	"Brasil"	"Paran<e1>"	"Primeiro de Maio"	"<c1>gua da Gar<e7>a, Sitio Santo Antonio, S<ed>tio Santo Antonio"	3	4	2001	"Pav<e3>o, O.C.; et al."	"s.n."	"; DESC: Arvore 12m; frutos imaturos verdes; flores verde-creme; beira da estrada."	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"FUEL"	"36483"	"Vieira, A.O.S."	"Brasil"	"Paran<e1>"	"Bela Vista do Para<ed>so"	"Bosque Municipal"	18	4	2001	"Fadelli, L.; et al."	"s.n."	"; DESC: <c1>rvore 25m; CAP 2,18m, proje<e7><e3>o copa 13,5 x 12m; frutos maduros cor roxa; frutos c. cachos possuindo v<e1>rios glom<e9>rulos; interior do Bosque; VIVEIRO No. 365."	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"FUEL"	"45827"	"Lovato, M.C."	"Brasil"	"Paran<e1>"	"Londrina"	"Faz. Figueira"	13	4	2003	"Estevan, D.A.; et al."	"1731"	"; DESC: <c1>rvore, frutos fragmento 1."	"splink"	"lat. 0"
