sp	long	lat
T_nigriceps	-65.3146219	-24.5055032
T_nigriceps	-65.3146219	-24.5055032
T_nigriceps	-65.3146219	-24.5055032
T_nigriceps	-65.3146219	-24.5055032
T_nigriceps	-65.335222	-24.504797
T_nigriceps	-65.335222	-24.504797
T_nigriceps	-65.335222	-24.504797
T_nigriceps	-65.335222	-24.504797
T_nigriceps	-65.311017	-24.5019887
T_nigriceps	-65.3061474	-24.49516
T_nigriceps	-65.305481	-24.4938659
T_nigriceps	-64.5004213	-24.4706528
T_nigriceps	-54.6333333	-24.4666667
T_nigriceps	-54.6333333	-24.4666667
T_nigriceps	-65.254266	-24.4511616
T_nigriceps	-65.5407429	-24.3711889
T_nigriceps	-47.0230883	-24.3647289
T_nigriceps	-47.0230883	-24.3647289
T_nigriceps	-47.0230883	-24.3647289
T_nigriceps	-47.0239305	-24.3639861
T_nigriceps	-54.4	-24.35
T_nigriceps	-65.47825	-24.3421389
T_nigriceps	-65.47825	-24.3421389
T_nigriceps	-47.0030737	-24.3310652
T_nigriceps	-65.4370589	-24.3275406
T_nigriceps	-65.4052326	-24.2749272
T_nigriceps	-65.4052326	-24.2749272
T_nigriceps	-47.2385073	-24.2743523
T_nigriceps	-47.2385073	-24.2743523
T_nigriceps	-48.4127569	-24.2682101
T_nigriceps	-48.4127569	-24.2682101
T_nigriceps	-48.4127569	-24.2682101
T_nigriceps	-48.4127569	-24.2682101
T_nigriceps	-48.4127569	-24.2682101
T_nigriceps	-48.4127569	-24.2682101
T_nigriceps	-48.4127569	-24.2682101
T_nigriceps	-64.4099113	-24.2564217
T_nigriceps	-64.9343491	-24.2429785
T_nigriceps	-65.0850365	-24.2401048
T_nigriceps	-65.0850365	-24.2401048
T_nigriceps	-65.0850365	-24.2401048
T_nigriceps	-65.0850365	-24.2401048
T_nigriceps	-65.2697155	-24.1842909
T_nigriceps	-65.4879257	-24.1707447
T_nigriceps	-65.4913473	-24.1684961
T_nigriceps	-65.4913473	-24.1684961
T_nigriceps	-65.365617	-24.1636187
T_nigriceps	-65.3297016	-24.1633054
T_nigriceps	-65.3297016	-24.1633054
T_nigriceps	-65.3297016	-24.1633054
T_nigriceps	-65.3297016	-24.1633054
T_nigriceps	-65.3297016	-24.1633054
T_nigriceps	-65.3297016	-24.1633054
T_nigriceps	-65.3297016	-24.1633054
T_nigriceps	-65.3297016	-24.1633054
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4526591	-24.1217081
T_nigriceps	-65.4877	-24.1201
T_nigriceps	-64.455	-24.12
T_nigriceps	-65.4140997	-24.1198868
T_nigriceps	-65.4050016	-24.1195343
T_nigriceps	-65.4662869	-24.1191307
T_nigriceps	-65.4662869	-24.1191307
T_nigriceps	-65.4662869	-24.1191307
T_nigriceps	-65.4662869	-24.1191307
T_nigriceps	-65.4662869	-24.1191307
T_nigriceps	-65.4043686	-24.1182835
T_nigriceps	-65.4674	-24.1173
T_nigriceps	-65.4361153	-24.1168734
T_nigriceps	-65.4361153	-24.1168734
T_nigriceps	-65.4361153	-24.1168734
T_nigriceps	-65.4361153	-24.1168734
T_nigriceps	-65.4736	-24.1164
T_nigriceps	-65.4725075	-24.1149515
T_nigriceps	-65.4725075	-24.1149515
T_nigriceps	-65.4725075	-24.1149515
T_nigriceps	-65.4725075	-24.1149515
T_nigriceps	-65.4725075	-24.1149515
T_nigriceps	-65.4725075	-24.1149515
T_nigriceps	-55.26	-24.11
T_nigriceps	-65.4787731	-24.1069606
T_nigriceps	-65.4787731	-24.1069606
T_nigriceps	-65.4787731	-24.1069606
T_nigriceps	-65.4787731	-24.1069606
T_nigriceps	-65.4787731	-24.1069606
T_nigriceps	-65.4787731	-24.1069606
T_nigriceps	-65.4787731	-24.1069606
T_nigriceps	-65.4787731	-24.1069606
T_nigriceps	-65.4787731	-24.1069606
T_nigriceps	-65.4787731	-24.1069606
T_nigriceps	-65.4787731	-24.1069606
T_nigriceps	-65.4787731	-24.1069606
T_nigriceps	-65.4787731	-24.1069606
T_nigriceps	-65.1406261	-24.0993882
T_nigriceps	-64.4002998	-24.0983423
T_nigriceps	-64.4002998	-24.0983423
T_nigriceps	-65.17243	-24.0892142
T_nigriceps	-65.4399464	-24.0315979
T_nigriceps	-47.152634	-24.016573
T_nigriceps	-64.3516705	-24.002982
T_nigriceps	-65.360713	-24.0023862
T_nigriceps	-47.5572395	-23.9984853
T_nigriceps	-47.5572395	-23.9984853
T_nigriceps	-47.5572395	-23.9984853
T_nigriceps	-47.5572395	-23.9984853
T_nigriceps	-47.5572395	-23.9984853
T_nigriceps	-65.2560553	-23.9915338
T_nigriceps	-46.3998878	-23.9859585
T_nigriceps	-65.1046586	-23.90055
T_nigriceps	-64.8495054	-23.7608379
