"issues" "scientificName" "decimalLongitude" "decimalLatitude" "collectionCode" "catalogNumber" "identifiedBy" "country" "stateProvince" "county" "locality" "day" "month" "year" "recordedBy" "recordNumber" "occurrenceRemarks"
"GEODETIC_DATUM_ASSUMED_WGS84" "Coudenbergia warmingiana (Marchal) Marchal" -47 -16 "E" "E00247206" NA "Brazil" "Minas Gerais" NA "Sagarana, Projeto Integrado de Coloizacao (INCRA), NW Minas Gerais." 15 9 1985 "Ratter, J.A.; Wagner Borges, J.; Rocha, Machado & Rocha, Mardocheu" "R 5047" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY,MULTIMEDIA_URI_INVALID" "Aralia warmingiana (Marchal) J.Wen" -47 -16 NA "00958278" "J. Wen" "Brazil" "Minas Gerais" NA "Sagarana, Projeto Integrado de Colonizaçao (INCRA), NW Minas Gerais" 15 9 1985 "J. A. Ratter" "R5047" NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Pentapanax warmingianus (Marchal) Harms" -47 -16 "UB" "115244" NA "Brazil" "Minas Gerais" NA "Projeto Integrado de Colonização (INCRA), NW Minas Gerais" 15 9 1985 "Ratter, JA" "5047" "Wood very weak and useless, not good for firewood or charcoal; Tree 14.0 m tall, 40.0 cm dbh. Bark grey with a longitudinally fissured pattern. Branches very weak and with the rather clumsy pachycaul pattern of Araliaceous trees. Opening new foliage"
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY,MULTIMEDIA_URI_INVALID" "Aralia warmingiana (Marchal) J.Wen" -47 -16 NA "00958279" "J. Wen" "Brazil" "Minas Gerais" NA "Sagarana, Projeto Integrado de Colonizaçao (INCRA), NW Minas Gerais" 15 9 1985 "J. A. Ratter" "R5047" NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA-AGP" "67358" "P. Fiaschi" "Brazil" "Sp" NA "Faz. Aritozina" 29 1 1982 "Leitao f." NA "Altura de 15m.Herb. Univ. Est. Campinas 13280. Habitat: Em área de transição mata-cerrado. Fenofase: flor creme esverdeada"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA_AGP" "67358" "P. Fiaschi" "Brazil" "Sp" NA "Faz. Aritozina" 29 1 1982 "Leitao f." NA "Altura de 15m.Herb. Univ. Est. Campinas 13280. Habitat: Em área de transição mata-cerrado. Fenofase: flor creme esverdeada"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "E" "E00178906" NA "Brazil" NA NA NA 29 1 1982 "Leitao Filho, H.F., Martins, F.R. & Stubblebine, W.H." "13280" NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "Botany" "U  0261508" NA "Brazil" "São Paulo" NA "Sao Paulosamal forest on low hill behind the campus" 10 8 1979 "Lindeman  JC" NA NA
"" "Pentapanax warmingianus (Marchal) Harms" NA NA "MO" "2492226" "Stutz, L. C." "Paraguay" "Canindeyú" NA "Salto del Guaira" 30 10 1978 "Luciano Bernardi" "Bernardi 18291" NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Pentapanax warmingianus (Marchal) Harms" -55 -24.33333 "Geneva Herbarium – General Collection (G)" "G-G-109166/20" NA "Paraguay" NA NA "Departamento Canindeyú/Departamento de Canindeyú" 30 10 1978 "Bernardi, L." NA NA
