"issues" "scientificName" "decimalLongitude" "decimalLatitude" "collectionCode" "catalogNumber" "identifiedBy" "country" "stateProvince" "county" "locality" "day" "month" "year" "recordedBy" "recordNumber" "occurrenceRemarks"
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -40.431667 -20.093889 "MBML-HERBARIO" "27156" "V. Demuner & L.F.S. Magnago, 14-set-06" "Brazil" "Espírito Santo" NA "Morro Agudo, Prop.: Dona Maria" 14 9 2006 "V. Demuner" "2884" "Árvore 15m, fuste 9m, Dap 60cm, frutos marrom (barriguda). Interior de mata."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -40.431667 -20.093889 "MBML_HERBARIO" "27156" "V. Demuner & L.F.S. Magnago, 14-set-06" "Brazil" "Espírito Santo" NA "Morro Agudo, Prop.: Dona Maria" 14 9 2006 "V. Demuner" "2884" "Árvore 15m, fuste 9m, Dap 60cm, frutos marrom (barriguda). Interior de mata."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -40.734722 -18.906944 "MBML-HERBARIO" "28319" "V. Demuner & L.F.S. Magnago, 17-out-06" "Brazil" "Espírito Santo" NA "16 de Abril" 17 10 2006 "V. Demuner" "2905" "Árvore 20m, fuste 17m, DAP 1m, frutos marrom. Interior de mata alterada."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -40.734722 -18.906944 "MBML_HERBARIO" "28319" "V. Demuner & L.F.S. Magnago, 17-out-06" "Brazil" "Espírito Santo" NA "16 de Abril" 17 10 2006 "V. Demuner" "2905" "Árvore 20m, fuste 17m, DAP 1m, frutos marrom. Interior de mata alterada."
"" "Cavanillesia arborea (Willd.) K.Schum." NA NA "CVRD" "9823" "Folli, D. A." "Brazil" "Es" NA NA 1 11 2006 "Folli, D.A." "5395" "Fazenda 3 Marias <ll>dwc_commonname:</ll> Barriguda"
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia arborea (Willd.) K.Schum." -44.953333 -12.378889 "HUEFS" "94359" "R.M.Santos" "Brazil" "Bahia" NA "BR 135, em direção à Inhaúmas." 6 4 2005 "Carvalho-Sobrinho, J.G.de" "475" "Mata semidecidual (cerrado) com Cavanilesia, Pseudobombax."
"COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -68.527778 -14.235 "MO" "2879912" "A. Fuentes (LPB)" "Bolivia, Plurinational State of" "La Paz" "Franz Tamayo" "Área Natural de Manejo Integrado Madidi, Azariamas, frente al arroyo Jaukantista.  Terraza antigua. Plantas NO alcoholizadas." 29 9 2005 "L. Cayola|C. Campos|A.S. Poma C.|Remberto Jove|H. Urbano" "Cayola Pérez 1818" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -68.51111 -14.21277 "MO" "2881035" "A. Fuentes (LPB)" "Bolivia, Plurinational State of" "La Paz" "Franz Tamayo" "Parque Nacional Madidi, Azariamas, arroyo San Roque. Bosque de yungas subandino pluviestacional con Pentaplaris davidsmithii y Erythrochiton fallax. Fondo de valle. Parcela temporal de muestreo (0,1 ha). Plantas NO alcoholizadas." 11 10 2005 "L. Cayola|C. Campos|A.S. Poma C.|Remberto Jove|H. Urbano" "Cayola Pérez 2004" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia arborea (Willd.) K.Schum." -44.178889 -13.421389 "HUEFS" "72759" "J.G.de Carvalho-Sobrinho" "Brazil" "Bahia" NA "2 km na estrada para Lagoinha." 17 7 2003 "Leite, K.R.B" "301" "Área de transição cerrado-caatinga"
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -46.723889 -14.539167 "HUEFS" "176843" NA "Brazil" "Goiás" NA "Fazenda Itú, (Sr. Felipe). Ponto 3." 25 8 2003 "Sevilha, A.C." "3084" "Cerrado (Floresta Estacional Decidual)."
