"scientificname" "longitude" "latitude" "collectioncode" "catalognumber" "identifiedby" "country" "stateprovince" "county" "locality" "daycollected" "monthcollected" "yearcollected" "collector" "collectornumber" "notes" "source"
"Aralia warmingiana (Marchal) J.Wen" -49.516667 -19.916667 "HRCB" "39355" "Mendoza, M." "Brazil" "SÃƒÂ£o Paulo" NA "EstaÃƒÂ§ÃƒÂ£o EcolÃƒÂ³gica de Paulo de Faria" 20 11 2001 "Tomasetto, F." "198" "ÃƒÂrvore ca. 20m, botÃƒÂµes creme, interior da mata." "gbif"
"Aralia warmingiana (Marchal) J.Wen" -54.205 -26.91638 "MO" "2409440" "Tressens, S. G., //" "Argentina" "Misiones" "GuaranÃƒÂ­" "Predio GuaranÃƒÂ­. Sendero CIFOR en selva" 27 4 1999 "Sara G. Tressens|Lidia I. Ferraro|H.A. Keller|Victor MaruÃƒÂ±ak|V. Revilla" "Tressens 6110" NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" -60.75 -17.83333 "MO" "1152044" "M. Mendoza (USZ)" "Bolivia, Plurinational State of" "Santa Cruz" "Chiquitos" "San Juan de Chiquito. 40 km al Noreste de camino a Bocamina. con elementos de Anadenanthera colubrina; Schinopsis brasiliensis. suelos rojiso." 9 11 1997 "Fabiana Mamani M.|Antony Jardim" "Mamani M. 1164" NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" -44.183333 -18.283333 "SPF" "111341" "Pirani, JR" "Brazil" "Minas Gerais" NA NA 3 4 1996 "Pirani, JR" "3734" NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" -46.993611 -18.944722 "SPFW" "554" "P. Fiaschi 2012" "Brazil" "Minas Gerais" NA "Serra do Salitre" 1 1 1994 "Ceccantini, G.C.T." "315" NA "gbif"
"Pentapanax warmingianus (Marchal) Harms" -55 -25.5 "Geneva Herbarium Ã¢â‚¬â€œ General Collection (G)" "G-G-27632/1" NA "Paraguay" NA NA "Departamento Alto ParanÃƒÂ¡ -/Departamento del Alto ParanÃƒÂ¡" 1 2 1985 "Stutz de Ortega, L." NA NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" -40.304167 -20.276667 "VIES" "758" NA "Brazil" "EspÃƒÂ­rito Santo" NA "Campus da UFES - Goiabeiras, Floresta de Tabuleiro." 6 5 1985 "Vinha, P.C." "s.n." "ÃƒÂrvore com 5 m de altura. Flor alva." "gbif"
"Coudenbergia warmingiana (Marchal) Marchal" -47 -16 "E" "E00247206" NA "Brazil" "Minas Gerais" NA "Sagarana, Projeto Integrado de Coloizacao (INCRA), NW Minas Gerais." 15 9 1985 "Ratter, J.A.; Wagner Borges, J.; Rocha, Machado & Rocha, Mardocheu" "R 5047" NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" -47 -16 NA "00958278" "J. Wen" "Brazil" "Minas Gerais" NA "Sagarana, Projeto Integrado de ColonizaÃƒÂ§ao (INCRA), NW Minas Gerais" 15 9 1985 "J. A. Ratter" "R5047" NA "gbif"
"Pentapanax warmingianus (Marchal) Harms" -47 -16 "UB" "115244" NA "Brazil" "Minas Gerais" NA "Projeto Integrado de ColonizaÃƒÂ§ÃƒÂ£o (INCRA), NW Minas Gerais" 15 9 1985 "Ratter, JA" "5047" "Wood very weak and useless, not good for firewood or charcoal; Tree 14.0 m tall, 40.0 cm dbh. Bark grey with a longitudinally fissured pattern. Branches very weak and with the rather clumsy pachycaul pattern of Araliaceous trees. Opening new foliage" "gbif"
