"scientificname" "longitude" "latitude" "collectioncode" "catalognumber" "identifiedby" "country" "stateprovince" "county" "locality" "daycollected" "monthcollected" "yearcollected" "collector" "collectornumber" "notes" "source"
"Aralia warmingiana (Marchal) J.Wen" NA NA "ESA" "ESA110074" NA "Brazil" "SÃ£o Paulo" NA NA NA NA NA "Toniato, M.T.Z. ; Barreto, T.E." "70" NA "gbif"
"Pentapanax warmingianus (Marchal) Harms" -57 -25.25 "Geneva Herbarium â€“ General Collection (G)" "G-G-108782/2" NA "Paraguay" NA NA "Departamento Cordillera/Departamento de la Cordillera" NA NA NA "Hassler, E." NA NA "gbif"
"Pentapanax warmingianus (Marchal) Harms" -57 -25.25 "Geneva Herbarium â€“ General Collection (G)" "G-G-109169/4" NA "Paraguay" NA NA "Departamento Cordillera/Departamento de la Cordillera" NA NA NA "Hassler, E." NA NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" NA NA "P" "P03258224" NA "Brazil" "Rio de Janeiro" NA NA NA NA NA "Glaziou, A." NA "Herbier de A. Glaziou donnÃ© par Mme Simard, sa fille, en 1907" "gbif"
"Aralia warmingiana (Marchal) J.Wen" -55.32 -27.62 "HERB" "51237" "-" "Argentina" "Misiones" "Leandro N. Alem" "leandro N. Alem" NA NA NA "Buchinger, M." NA NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" -63.2 -17.74166 "MO" "1524024" "J. Wen" "Bolivia, Plurinational State of" "Santa Cruz" NA "The plain around Santa Cruz that is bound by the 700 m contour of the Andean foothills to the west, and the RÃ­o Grande to the east" NA NA NA "Michael H. Nee" "Nee 33832" NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" -55.32 -27.62 "HERB" "51236" "-" "Argentina" "Misiones" "Leandro N. Alem" "leandro N. Alem" NA NA NA "Buchinger, M." NA NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" -53.766667 -27.166667 "R" "211039" "Fiaschi, P." "Brazil" "Santa Catarina" NA NA NA NA NA "Smith, L.B" NA NA "gbif"
"Pentapanax warmingianus (Marchal) Harms" -56 -23 "Geneva Herbarium â€“ General Collection (G)" "G-G-109167/1" NA "Paraguay" NA NA "Departamento Amambay/Departamento del Amambay" NA NA NA "Hassler, E. & T. Rojas" NA NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" -56.23 -28.21 "CTES-VASC" "561892" NA "Argentina" "Corrientes" "Santo TomÃ©" "Ea. TimbÃ³, 15 km SE de Colonia GarabÃ­." NA NA NA "Tressens, S. G." "1148" "En isleta de selva. Ãrbol de 10-15 m alt., tronco 37.57 cm de diam. Hojas A y B" "gbif"
"Aralia warmingiana (Marchal) J.Wen" -55.59 -27.44 "HERB" "51238" "-" "Argentina" "Misiones" "Candelaria" "Loreto" NA NA NA "GrÃ¼bner, -" NA NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" NA NA "HERB" "52706" "-" "Paraguay" "Cordillera" "-" "Montes Cerrito, San Bernardino" NA NA NA "Hassler, E." NA NA "gbif"
"Pentapanax warmingianus (Marchal) Harms" -57 -26 "Geneva Herbarium â€“ General Collection (G)" "G-G-109168/2" NA "Paraguay" NA NA "Departamento Paraguari/Departamento de ParaguarÃ­" NA NA NA "Balansa, B." NA NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" NA NA "CTES-VASC" "561894" "tronco de 1.40 m de circ.""" "Argentina" "Corrientes" "ItuzaingÃ³" "Ruta 39, 10 km NW de ruta 14." NA NA NA "Tressens, S. G." "1100" """En isleta de selva. Arbol de 20 m alt" "gbif"
"Aralia warmingiana (Marchal) J.Wen" NA NA "HERB" "178743" "-" "Brazil" "Minas Gerais" "-" "Lagoa Santa" NA NA NA "Warming, J. E. B." NA NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" NA NA "P" "P03258231" NA NA NA NA NA NA NA NA NA NA NA "gbif"
"Pentapanax ulei Harms" NA NA "Botany" "L.2573115" NA "Brazil" NA NA "Baum in der Catinga bei Tambury, Estado de Bahia." NA NA NA "Ule  EHG" NA NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" NA NA "P" "P06773781" NA NA NA NA NA NA NA NA NA NA NA "gbif"
