"scientificname" "longitude" "latitude" "collectioncode" "catalognumber" "identifiedby" "country" "stateprovince" "county" "locality" "daycollected" "monthcollected" "yearcollected" "collector" "collectornumber" "notes" "source"
"Cavanillesia arborea (Willd.) K.Schum." -40.734722 -18.906944 "MBML_HERBARIO" "28319" "V. Demuner & L.F.S. Magnago, 17-out-06" "Brazil" "EspÃ­rito Santo" NA "16 de Abril" 17 10 2006 "V. Demuner" "2905" "Ãrvore 20m, fuste 17m, DAP 1m, frutos marrom. Interior de mata alterada." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." NA NA "CVRD" "9823" "Folli, D. A." "Brazil" "Es" NA NA 1 11 2006 "Folli, D.A." "5395" "Fazenda 3 Marias <ll>dwc_commonname:</ll> Barriguda" "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -44.953333 -12.378889 "HUEFS" "94359" "R.M.Santos" "Brazil" "Bahia" NA "BR 135, em direÃ§Ã£o Ã  InhaÃºmas." 6 4 2005 "Carvalho-Sobrinho, J.G.de" "475" "Mata semidecidual (cerrado) com Cavanilesia, Pseudobombax." "gbif"
"Cavanillesia umbellata Ruiz & Pav." -68.527778 -14.235 "MO" "2879912" "A. Fuentes (LPB)" "Bolivia, Plurinational State of" "La Paz" "Franz Tamayo" "Ãrea Natural de Manejo Integrado Madidi, Azariamas, frente al arroyo Jaukantista.  Terraza antigua. Plantas NO alcoholizadas." 29 9 2005 "L. Cayola|C. Campos|A.S. Poma C.|Remberto Jove|H. Urbano" "Cayola PÃ©rez 1818" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -68.51111 -14.21277 "MO" "2881035" "A. Fuentes (LPB)" "Bolivia, Plurinational State of" "La Paz" "Franz Tamayo" "Parque Nacional Madidi, Azariamas, arroyo San Roque. Bosque de yungas subandino pluviestacional con Pentaplaris davidsmithii y Erythrochiton fallax. Fondo de valle. Parcela temporal de muestreo (0,1 ha). Plantas NO alcoholizadas." 11 10 2005 "L. Cayola|C. Campos|A.S. Poma C.|Remberto Jove|H. Urbano" "Cayola PÃ©rez 2004" NA "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -44.178889 -13.421389 "HUEFS" "72759" "J.G.de Carvalho-Sobrinho" "Brazil" "Bahia" NA "2 km na estrada para Lagoinha." 17 7 2003 "Leite, K.R.B" "301" "Ãrea de transiÃ§Ã£o cerrado-caatinga" "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -46.723889 -14.539167 "HUEFS" "176843" NA "Brazil" "GoiÃ¡s" NA "Fazenda ItÃº, (Sr. Felipe). Ponto 3." 25 8 2003 "Sevilha, A.C." "3084" "Cerrado (Floresta Estacional Decidual)." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -46.723889 -14.539167 "CNMT" "3358" NA "Brazil" "GoiÃ¡s" NA "Fazenda ItÃº" 25 8 2003 "Sevilha, A.C.; Guarino,E.S.G.;Pereira,J.B." "3084" "Ponto 3; Ambiente : Cerrado(Floresta Estacional Decimal); Relevo: Altiplano; Substrato: Neossolo QuartzorÃªnico; Flor: Branca; Fruto: Imaturo Verde; Tubo Da Corola VinÃ¡ceo, Estame Brancos ; Sobre afloramento calcÃ¡rio." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -46.723889 -14.539167 "CNMT" "3313" NA "Brazil" "GoiÃ¡s" NA "Fazenda ItÃº" 25 8 2003 "Sevilha, A.C.; Guarino,E.S.G.;Pereira,J.B." "3084" "Ponto 3; Ambiente : Cerrado(Floresta Estacional Decimal); Relevo: Altiplano; Substrato: Neossolo QuartzorÃªnico; Flor: Branca; Fruto: Imaturo Verde; Tubo Da Corola VinÃ¡ceo, Estame Brancos ; Sobre afloramento calcÃ¡rio." "gbif"
"Cavanillesia umbellata Ruiz & Pav." -67.78861 -14.98777 "MO" "1749941" "I. Loza (LPB)" "Bolivia, Plurinational State of" "La Paz" "Franz Tamayo" "Parque Nacional Madidi, rÃ­o Quendeque, detrÃ¡s del campamento ""Retamas"". Bosque amazÃ³nico pluviestacional hÃºmedo, de piedemonte subandino, bien drenado, con Pentaplaris davidsmithii, Arecaceae spp, Annonaceae spp, Burseraceae spp, Moraceae spp. En terraza antigua. Parcela Temporal de Muestreo (0.1 ha) 4." 28 1 2002 "D. De la Quintana" "De la Quintana 174" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -67.79333 -14.97666 "MO" "1764448" "V. Cardona, Rev. W. Alverson (F)" "Bolivia, Plurinational State of" "La Paz" "Franz Tamayo" "Parque Madidi, orilla izquierda RÃ­o Quendeque, una hora del campamento Retamas. bosque bajo, con muchas palmeras, bejucos, en el sotobosque muchas marantaceas y Asplundia" 25 1 2002 "Renate Seidel|et al." "Seidel 8450" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -67.956111 -14.367222 "MO" "1854564" "I. Loza (LPB)" "Bolivia, Plurinational State of" "La Paz" "Abel Iturralde" "Ãrea Natural de Manejo Integrado Madidi. Arroyo Rudidi, sobre el RÃ­o Tuichi." 14 10 2002 "Alejandro Araujo M.|HÃ©ctor Cabrera|M.H. Calzadilla|Fabiola Torrico|Leopoldo Lucia|L. Quetehuari|Justino Navi|Marcelino Villanueva" "Araujo Murakami 374" NA "gbif"
