Specie	LONGITUDE	LATITUDE	OBSERVATION DATE
T_nigriceps	-65.3275609	-26.7733536	30/07/2016
T_nigriceps	-65.3275609	-26.7733536	30/07/2016
T_nigriceps	-65.3275609	-26.7733536	29/07/2016
T_nigriceps	-65.3275609	-26.7733536	30/07/2016
T_nigriceps	-64.599148	-30.9643622	25/01/1987
T_nigriceps	-64.599148	-30.9643622	25/01/1987
T_nigriceps	-64.4979858	-30.9805917	24/01/1988
T_nigriceps	-64.3471813	-31.1511933	11/11/1991
T_nigriceps	-64.4979858	-30.9805917	17/02/1992
T_nigriceps	-64.7184849	-31.9598815	12/02/2004
T_nigriceps	-64.3406153	-31.1632121	24/11/2008
T_nigriceps	-64.4979858	-30.9805917	01/02/2009
T_nigriceps	-64.3485975	-31.162578	26/10/2009
T_nigriceps	-64.45	-31.2666667	15/02/2012
T_nigriceps	-65.0288486	-32.0288165	08/08/2014
T_nigriceps	-64.59994	-31.33412	02/12/2014
T_nigriceps	-64.3471813	-31.1511933	19/12/2014
T_nigriceps	-64.4554406	-31.118675	08/01/2015
T_nigriceps	-64.4554406	-31.118675	08/01/2015
T_nigriceps	-65.0572157	-32.0870106	16/02/2015
T_nigriceps	-63.9333333	-30.0833333	19/02/2015
T_nigriceps	-63.9333333	-30.0833333	19/02/2015
T_nigriceps	-65.05722	-32.08701	22/08/2015
T_nigriceps	-64.3283442	-31.182556	12/09/2015
T_nigriceps	-65.0288486	-32.0288165	22/10/2015
T_nigriceps	-65.0288486	-32.0288165	22/10/2015
T_nigriceps	-65.0288486	-32.0288165	22/10/2015
T_nigriceps	-64.3283442	-31.182556	09/10/2015
T_nigriceps	-65.0288486	-32.0288165	22/10/2015
T_nigriceps	-64.3283442	-31.182556	21/11/2015
T_nigriceps	-64.3283442	-31.182556	02/11/2015
T_nigriceps	-64.56584	-31.90315	06/12/2015
T_nigriceps	-64.9771357	-31.8635625	04/01/2016
T_nigriceps	-64.3774152	-31.1910706	31/01/2016
T_nigriceps	-64.56584	-31.90315	03/01/2016
T_nigriceps	-64.3283442	-31.182556	29/05/2016
T_nigriceps	-64.3283442	-31.182556	17/06/2016
T_nigriceps	-64.3283442	-31.182556	11/06/2016
T_nigriceps	-64.853164	-23.7592988	03/07/1991
T_nigriceps	-64.8495054	-23.7608379	31/10/1992
T_nigriceps	-65.4913473	-24.1684961	18/12/1994
T_nigriceps	-65.4913473	-24.1684961	18/12/1994
T_nigriceps	-65.4361153	-24.1168734	19/12/1994
T_nigriceps	-65.4361153	-24.1168734	19/12/1994
T_nigriceps	-65.4725075	-24.1149515	22/01/1996
T_nigriceps	-65.4003668	-23.5864859	09/05/1997
T_nigriceps	-64.853164	-23.7592988	24/07/2000
T_nigriceps	-64.853164	-23.7592988	24/07/2000
T_nigriceps	-65.2560553	-23.9915338	27/01/2001
T_nigriceps	-64.8495054	-23.7608379	16/02/2001
T_nigriceps	-65.3297016	-24.1633054	20/04/2001
T_nigriceps	-65.3297016	-24.1633054	05/05/2001
T_nigriceps	-65.3297016	-24.1633054	25/07/2001
T_nigriceps	-65.3297016	-24.1633054	06/08/2001
T_nigriceps	-65.3297016	-24.1633054	03/08/2001
T_nigriceps	-64.8518229	-23.7561637	12/10/2001
T_nigriceps	-65.3297016	-24.1633054	16/10/2001
T_nigriceps	-65.4879257	-24.1707447	25/11/2001
T_nigriceps	-65.254266	-24.4511616	23/12/2001
T_nigriceps	-65.4052326	-24.2749272	09/12/2001
T_nigriceps	-65.4662869	-24.1191307	14/12/2001
T_nigriceps	-65.1406261	-24.0993882	04/01/2002
T_nigriceps	-65.0850365	-24.2401048	14/02/2002
T_nigriceps	-65.0850365	-24.2401048	19/04/2002
T_nigriceps	-65.3297016	-24.1633054	25/05/2002
T_nigriceps	-65.2697155	-24.1842909	03/05/2002
T_nigriceps	-64.8495054	-23.7608379	31/08/2002
T_nigriceps	-64.8495054	-23.7608379	05/09/2002
T_nigriceps	-64.8495054	-23.7608379	05/09/2002
T_nigriceps	-64.8495054	-23.7608379	04/10/2002
T_nigriceps	-65.4725075	-24.1149515	15/11/2002
T_nigriceps	-65.360713	-24.0023862	22/12/2002
T_nigriceps	-65.4052326	-24.2749272	09/01/2003
T_nigriceps	-65.365617	-24.1636187	01/06/2003
